session,search,position,product
a44a2e1b4dabcf3b/1,1,1,3100
a44a2e1b4dabcf3b/1,1,2,3056
a44a2e1b4dabcf3b/1,1,3,3145
a44a2e1b4dabcf3b/1,1,4,3117
a44a2e1b4dabcf3b/1,1,5,3086
a44a2e1b4dabcf3b/1,1,6,3143
a44a2e1b4dabcf3b/1,1,7,3085
a44a2e1b4dabcf3b/1,1,8,3016
a44a2e1b4dabcf3b/1,1,9,3088
a44a2e1b4dabcf3b/1,1,10,3176
a44a2e1b4dabcf3b/1,1,11,3126
a44a2e1b4dabcf3b/1,1,12,3225
a44a2e1b4dabcf3b/1,1,13,3092
a44a2e1b4dabcf3b/1,1,14,3028
a44a2e1b4dabcf3b/1,1,15,3009
a44a2e1b4dabcf3b/1,1,16,3087
a44a2e1b4dabcf3b/1,1,17,3228
a44a2e1b4dabcf3b/1,1,18,3096
a44a2e1b4dabcf3b/1,1,19,3204
a44a2e1b4dabcf3b/1,1,20,3036
dd2acf45617d2beb/3,1,1,3003
dd2acf45617d2beb/3,1,2,3004
dd2acf45617d2beb/3,1,3,3005
dd2acf45617d2beb/3,1,4,3006
dd2acf45617d2beb/3,1,5,3007
dd2acf45617d2beb/3,1,6,2986
dd2acf45617d2beb/3,1,7,3009
dd2acf45617d2beb/3,1,8,3010
dd2acf45617d2beb/3,1,9,3011
dd2acf45617d2beb/3,1,10,3012
dd2acf45617d2beb/3,1,11,3013
dd2acf45617d2beb/3,1,12,3136
dd2acf45617d2beb/3,1,13,3189
dd2acf45617d2beb/3,1,14,3130
dd2acf45617d2beb/3,1,15,3290
dd2acf45617d2beb/3,1,16,3241
dd2acf45617d2beb/3,1,17,3261
dd2acf45617d2beb/3,1,18,3152
dd2acf45617d2beb/3,1,19,3082
dd2acf45617d2beb/3,1,20,3162
dd2acf45617d2beb/4,1,1,3126
dd2acf45617d2beb/4,1,2,3143
dd2acf45617d2beb/4,1,3,3087
dd2acf45617d2beb/4,1,4,3176
dd2acf45617d2beb/4,1,5,3093
dd2acf45617d2beb/4,1,6,3177
dd2acf45617d2beb/4,1,7,3188
dd2acf45617d2beb/4,1,8,3120
dd2acf45617d2beb/4,1,9,3190
dd2acf45617d2beb/4,1,10,2997
dd2acf45617d2beb/4,1,11,3162
dd2acf45617d2beb/5,1,1,3100
dd2acf45617d2beb/5,1,2,3154
dd2acf45617d2beb/5,1,3,3009
dd2acf45617d2beb/5,1,4,3096
dd2acf45617d2beb/5,1,5,3218
dd2acf45617d2beb/5,1,6,3030
dd2acf45617d2beb/5,1,7,3040
58b43369c22c26d7/1,1,1,1638
58b43369c22c26d7/1,1,2,344
58b43369c22c26d7/1,1,3,1071
58b43369c22c26d7/1,1,4,1454
58b43369c22c26d7/1,1,5,3347
58b43369c22c26d7/1,1,6,2235
58b43369c22c26d7/1,1,7,665
58b43369c22c26d7/1,1,8,1364
58b43369c22c26d7/1,1,9,3348
58b43369c22c26d7/1,1,10,649
871ce62ba77aa793/1,1,1,3087
871ce62ba77aa793/1,1,2,3085
871ce62ba77aa793/1,1,3,3088
871ce62ba77aa793/1,1,4,3086
871ce62ba77aa793/1,1,5,3096
871ce62ba77aa793/1,1,6,3051
871ce62ba77aa793/1,1,7,3030
871ce62ba77aa793/1,1,8,3014
871ce62ba77aa793/1,1,9,3204
871ce62ba77aa793/1,1,10,3166
871ce62ba77aa793/1,1,11,3028
871ce62ba77aa793/1,1,12,3117
871ce62ba77aa793/1,1,13,3004
871ce62ba77aa793/1,1,14,3153
871ce62ba77aa793/1,1,15,3017
e25f5c568859a653/17,1,1,3003
e25f5c568859a653/17,1,2,3014
e25f5c568859a653/17,1,3,3034
e25f5c568859a653/17,1,4,3117
e25f5c568859a653/17,1,5,3193
e25f5c568859a653/17,1,6,3145
e25f5c568859a653/17,1,7,3002
e25f5c568859a653/18,1,1,3100
