,appearances,product,reference_product,opportunities,appearances_pct,rank
1304,3.0,3036,12,4.0,0.75,1.0
1262,2.0,2994,12,4.0,0.5,2.0
1254,2.0,2986,12,4.0,0.5,2.0
1482,2.0,3218,12,4.0,0.5,2.0
1268,2.0,3000,12,4.0,0.5,2.0
1367,2.0,3101,12,4.0,0.5,2.0
1366,18.0,3100,3036,71.0,0.2535211267605634,1.0
1392,18.0,3126,3036,71.0,0.2535211267605634,1.0
1254,17.0,2986,3036,71.0,0.23943661971830985,3.0
1316,17.0,3048,3036,71.0,0.23943661971830985,3.0
1351,4.0,3085,671,9.0,0.4444444444444444,1.0
1353,3.0,3087,671,9.0,0.3333333333333333,2.0
1352,3.0,3086,671,9.0,0.3333333333333333,2.0
1438,3.0,3172,671,9.0,0.3333333333333333,2.0
1441,3.0,3175,671,9.0,0.3333333333333333,2.0
1366,3.0,3100,671,9.0,0.3333333333333333,2.0
1353,155.0,3087,3096,226.0,0.6858407079646017,1.0
1351,131.0,3085,3096,226.0,0.5796460176991151,2.0
1298,125.0,3030,3096,226.0,0.5530973451327433,3.0
1383,3.0,3117,682,6.0,0.5,1.0
1354,2.0,3088,682,6.0,0.3333333333333333,2.0
596,2.0,1082,682,6.0,0.3333333333333333,2.0
1299,2.0,3031,682,6.0,0.3333333333333333,2.0
1441,2.0,3175,682,6.0,0.3333333333333333,2.0
1442,2.0,3176,682,6.0,0.3333333333333333,2.0
1304,2.0,3036,682,6.0,0.3333333333333333,2.0
1467,2.0,3202,682,6.0,0.3333333333333333,2.0
1277,2.0,3009,682,6.0,0.3333333333333333,2.0
1469,2.0,3204,682,6.0,0.3333333333333333,2.0
1260,2.0,2992,682,6.0,0.3333333333333333,2.0
1411,2.0,3145,682,6.0,0.3333333333333333,2.0
1436,2.0,3170,682,6.0,0.3333333333333333,2.0
1409,2.0,3143,682,6.0,0.3333333333333333,2.0
1296,2.0,3028,682,6.0,0.3333333333333333,2.0
1489,2.0,3225,682,6.0,0.3333333333333333,2.0
244,2.0,419,682,6.0,0.3333333333333333,2.0
81,2.0,147,682,6.0,0.3333333333333333,2.0
1392,2.0,3126,682,6.0,0.3333333333333333,2.0
1492,2.0,3228,682,6.0,0.3333333333333333,2.0
1353,2.0,3087,682,6.0,0.3333333333333333,2.0
1352,2.0,3086,682,6.0,0.3333333333333333,2.0
379,2.0,671,682,6.0,0.3333333333333333,2.0
1351,2.0,3085,682,6.0,0.3333333333333333,2.0
1351,249.0,3085,3087,306.0,0.8137254901960784,1.0
1352,241.0,3086,3087,306.0,0.7875816993464052,2.0
1354,201.0,3088,3087,306.0,0.6568627450980392,3.0
1273,12.0,3005,62,20.0,0.6,1.0
1254,11.0,2986,62,20.0,0.55,2.0
1280,8.0,3012,62,20.0,0.4,3.0
1254,12.0,2986,129,16.0,0.75,1.0
1280,9.0,3012,129,16.0,0.5625,2.0
1260,8.0,2992,129,16.0,0.5,3.0
1280,8.0,3012,297,11.0,0.7272727272727273,1.0
1254,6.0,2986,297,11.0,0.5454545454545454,2.0
1277,5.0,3009,297,11.0,0.45454545454545453,3.0
1273,5.0,3005,297,11.0,0.45454545454545453,3.0
1348,2.0,3082,202,3.0,0.6666666666666666,1.0
1280,2.0,3012,202,3.0,0.6666666666666666,1.0
1396,2.0,3130,202,3.0,0.6666666666666666,1.0
35,1.0,62,1370,1.0,1.0,1.0
69,1.0,129,1370,1.0,1.0,1.0
1525,1.0,3261,1370,1.0,1.0,1.0
1505,1.0,3241,1370,1.0,1.0,1.0
1454,1.0,3189,1370,1.0,1.0,1.0
1428,1.0,3162,1370,1.0,1.0,1.0
1418,1.0,3152,1370,1.0,1.0,1.0
1402,1.0,3136,1370,1.0,1.0,1.0
1396,1.0,3130,1370,1.0,1.0,1.0
1348,1.0,3082,1370,1.0,1.0,1.0
1281,1.0,3013,1370,1.0,1.0,1.0
1280,1.0,3012,1370,1.0,1.0,1.0
1279,1.0,3011,1370,1.0,1.0,1.0
1278,1.0,3010,1370,1.0,1.0,1.0
1277,1.0,3009,1370,1.0,1.0,1.0
1275,1.0,3007,1370,1.0,1.0,1.0
1274,1.0,3006,1370,1.0,1.0,1.0
1273,1.0,3005,1370,1.0,1.0,1.0
1272,1.0,3004,1370,1.0,1.0,1.0
1271,1.0,3003,1370,1.0,1.0,1.0
1254,1.0,2986,1370,1.0,1.0,1.0
628,1.0,1146,1370,1.0,1.0,1.0
328,1.0,581,1370,1.0,1.0,1.0
258,1.0,438,1370,1.0,1.0,1.0
174,1.0,297,1370,1.0,1.0,1.0
131,1.0,226,1370,1.0,1.0,1.0
116,1.0,202,1370,1.0,1.0,1.0
1553,1.0,3290,1370,1.0,1.0,1.0
