,appearances,product,reference_product,opportunities,appearances_pct,rank
11,1.0,98,1,1.0,1.0,1
117,1.0,635,1,1.0,1.0,1
139,1.0,743,1,1.0,1.0,1
248,1.0,1327,1,1.0,1.0,1
253,1.0,1346,1,1.0,1.0,1
254,1.0,1355,1,1.0,1.0,1
357,1.0,1977,1,1.0,1.0,1
365,1.0,2024,1,1.0,1.0,1
493,1.0,2901,1,1.0,1.0,1
959,1.0,3502,1,1.0,1.0,1
6,3.0,58,3,3.0,1.0,1
16,3.0,124,3,3.0,1.0,1
37,3.0,208,3,3.0,1.0,1
96,3.0,526,3,3.0,1.0,1
97,3.0,531,3,3.0,1.0,1
100,3.0,544,3,3.0,1.0,1
188,3.0,1006,3,3.0,1.0,1
198,3.0,1066,3,3.0,1.0,1
268,3.0,1408,3,3.0,1.0,1
429,3.0,2444,3,3.0,1.0,1
753,3.0,3230,3,3.0,1.0,1
966,3.0,3519,3,3.0,1.0,1
36,4.0,205,13,5.0,0.8,1
197,4.0,1065,13,5.0,0.8,1
106,1.0,576,13,5.0,0.2,3
122,1.0,659,13,5.0,0.2,3
231,1.0,1231,13,5.0,0.2,3
360,1.0,1994,13,5.0,0.2,3
448,1.0,2544,13,5.0,0.2,3
463,1.0,2657,13,5.0,0.2,3
476,1.0,2756,13,5.0,0.2,3
969,1.0,3523,13,5.0,0.2,3
977,1.0,3542,13,5.0,0.2,3
978,1.0,3543,13,5.0,0.2,3
979,1.0,3544,13,5.0,0.2,3
986,1.0,3582,13,5.0,0.2,3
28,2.0,164,24,2.0,1.0,1
29,2.0,168,24,2.0,1.0,1
104,2.0,571,24,2.0,1.0,1
154,2.0,802,24,2.0,1.0,1
234,2.0,1239,24,2.0,1.0,1
272,2.0,1437,24,2.0,1.0,1
15,1.0,123,25,1.0,1.0,1
230,1.0,1227,25,1.0,1.0,1
316,1.0,1688,25,1.0,1.0,1
337,1.0,1796,25,1.0,1.0,1
389,1.0,2139,25,1.0,1.0,1
410,1.0,2328,25,1.0,1.0,1
929,1.0,3436,25,1.0,1.0,1
930,1.0,3437,25,1.0,1.0,1
931,1.0,3438,25,1.0,1.0,1
932,1.0,3439,25,1.0,1.0,1
20,3.0,140,34,4.0,0.75,1
26,3.0,153,34,4.0,0.75,1
210,3.0,1124,34,4.0,0.75,1
269,3.0,1421,34,4.0,0.75,1
307,3.0,1638,34,4.0,0.75,1
815,3.0,3294,34,4.0,0.75,1
144,1.0,754,34,4.0,0.25,7
275,1.0,1456,34,4.0,0.25,7
306,1.0,1628,34,4.0,0.25,7
341,1.0,1844,34,4.0,0.25,7
399,1.0,2235,34,4.0,0.25,7
420,1.0,2407,34,4.0,0.25,7
470,1.0,2724,34,4.0,0.25,7
941,1.0,3455,34,4.0,0.25,7
1,3.0,3,58,6.0,0.5,1
188,3.0,1006,58,6.0,0.5,1
753,3.0,3230,58,6.0,0.5,1
429,3.0,2444,58,6.0,0.5,1
16,3.0,124,58,6.0,0.5,1
198,3.0,1066,58,6.0,0.5,1
268,3.0,1408,58,6.0,0.5,1
100,3.0,544,58,6.0,0.5,1
97,3.0,531,58,6.0,0.5,1
96,3.0,526,58,6.0,0.5,1
37,3.0,208,58,6.0,0.5,1
966,3.0,3519,58,6.0,0.5,1
79,1.0,429,64,1.0,1.0,1
223,1.0,1197,64,1.0,1.0,1
406,1.0,2276,64,1.0,1.0,1
857,1.0,3340,64,1.0,1.0,1
914,1.0,3412,64,1.0,1.0,1
266,4.0,1405,78,5.0,0.8,1
82,3.0,448,78,5.0,0.6,2
115,3.0,625,78,5.0,0.6,2
184,3.0,960,78,5.0,0.6,2
311,3.0,1659,78,5.0,0.6,2
