session,product
a44a2e1b4dabcf3b/1,12
a44a2e1b4dabcf3b/1,3036
a44a2e1b4dabcf3b/1,671
a44a2e1b4dabcf3b/1,3096
a44a2e1b4dabcf3b/1,682
a44a2e1b4dabcf3b/1,3087
dd2acf45617d2beb/3,62
dd2acf45617d2beb/3,129
dd2acf45617d2beb/3,297
dd2acf45617d2beb/3,202
dd2acf45617d2beb/3,1370
dd2acf45617d2beb/3,581
dd2acf45617d2beb/3,226
dd2acf45617d2beb/3,438
dd2acf45617d2beb/3,1146
e25f5c568859a653/18,1374
5ed6835cdf03ed03/1,3611
99a5d409cc31cce5/1,147
99a5d409cc31cce5/2,1908
99a5d409cc31cce5/2,199
99a5d409cc31cce5/2,281
99a5d409cc31cce5/2,582
99a5d409cc31cce5/2,1154
99a5d409cc31cce5/2,1382
99a5d409cc31cce5/2,1579
99a5d409cc31cce5/2,1895
99a5d409cc31cce5/2,2099
99a5d409cc31cce5/3,230
99a5d409cc31cce5/5,3157
99a5d409cc31cce5/5,3100
99a5d409cc31cce5/5,3030
99a5d409cc31cce5/5,3143
99a5d409cc31cce5/5,3148
99a5d409cc31cce5/5,3086
99a5d409cc31cce5/5,3123
99a5d409cc31cce5/5,3274
99a5d409cc31cce5/5,3265
0b6af7bde8cbd6f3/3,4356
0b6af7bde8cbd6f3/3,4317
091c6b34a33340ac/4,206
091c6b34a33340ac/4,199
091c6b34a33340ac/5,37
091c6b34a33340ac/5,43
5e0f0a080ca6f091/4,198
5e0f0a080ca6f091/4,362
5e0f0a080ca6f091/4,590
5e0f0a080ca6f091/4,993
5e0f0a080ca6f091/4,1219
5e0f0a080ca6f091/4,1423
5e0f0a080ca6f091/4,1499
cc3eaabfd55b2caf/1,235
cc3eaabfd55b2caf/1,1183
5c46457f3679f449/1,37
5c46457f3679f449/1,922
5c46457f3679f449/1,1530
5c46457f3679f449/2,37
5c46457f3679f449/2,43
5c46457f3679f449/2,959
5c46457f3679f449/3,26
5c46457f3679f449/3,170
5c46457f3679f449/3,959
5c46457f3679f449/3,2103
5c46457f3679f449/5,37
5c46457f3679f449/6,37
5c46457f3679f449/6,1415
5c46457f3679f449/6,16
5c46457f3679f449/6,976
b4388acb8547de5b/1,1108
018ed998764f26a9/1,253
018ed998764f26a9/1,259
018ed998764f26a9/1,1279
018ed998764f26a9/1,1423
7ea8ad62557c74b5/11,170
7ea8ad62557c74b5/12,147
ee8b08a3389f6a98/8,265
ee8b08a3389f6a98/8,138
ee8b08a3389f6a98/8,1453
ee8b08a3389f6a98/9,138
ee8b08a3389f6a98/10,101
ee8b08a3389f6a98/10,138
ee8b08a3389f6a98/10,595
ee8b08a3389f6a98/10,1121
ee8b08a3389f6a98/10,310
ee8b08a3389f6a98/10,1174
ee8b08a3389f6a98/10,1317
ee8b08a3389f6a98/10,1320
ee8b08a3389f6a98/10,537
ee8b08a3389f6a98/10,2226
ee8b08a3389f6a98/10,2304
ee8b08a3389f6a98/10,780
ee8b08a3389f6a98/10,929
ee8b08a3389f6a98/10,1584
ee8b08a3389f6a98/10,2740
ee8b08a3389f6a98/10,2626
ee8b08a3389f6a98/10,1713
749e452619f67c1e/7,1423
749e452619f67c1e/7,4248
749e452619f67c1e/8,555
749e452619f67c1e/8,1416
749e452619f67c1e/8,232
749e452619f67c1e/8,1108
749e452619f67c1e/8,1423
940312b3f3896f50/1,226
940312b3f3896f50/1,669
2a938d8ded770ac0/5,306
2a938d8ded770ac0/5,353
2a938d8ded770ac0/5,206
2a938d8ded770ac0/5,188
2a938d8ded770ac0/5,1599
2a938d8ded770ac0/5,346
2a938d8ded770ac0/5,2103
2a938d8ded770ac0/5,1376
2a938d8ded770ac0/6,184
2a938d8ded770ac0/6,306
2a938d8ded770ac0/6,958
2a938d8ded770ac0/7,306
2a938d8ded770ac0/7,1045
2a938d8ded770ac0/7,2204
2a938d8ded770ac0/9,202
2a938d8ded770ac0/9,1374
2a938d8ded770ac0/10,353
2a938d8ded770ac0/10,693
2a938d8ded770ac0/10,232
2a938d8ded770ac0/11,259
e928f140b744382f/224,170
e928f140b744382f/230,26
e928f140b744382f/266,170
e928f140b744382f/274,170
e928f140b744382f/274,296
ed9df798595c4ea8/10,26
ed9df798595c4ea8/10,62
ed9df798595c4ea8/10,255
ed9df798595c4ea8/11,62
ed9df798595c4ea8/12,62
ed9df798595c4ea8/12,255
ed9df798595c4ea8/12,297
ed9df798595c4ea8/12,425
ed9df798595c4ea8/12,460
ed9df798595c4ea8/12,627
ed9df798595c4ea8/15,674
ed9df798595c4ea8/19,55
ed9df798595c4ea8/19,674
606c6fd4c64b3f12/7,3694
606c6fd4c64b3f12/9,1168
606c6fd4c64b3f12/10,48
606c6fd4c64b3f12/10,129
606c6fd4c64b3f12/10,187
606c6fd4c64b3f12/10,193
606c6fd4c64b3f12/12,48
606c6fd4c64b3f12/12,129
606c6fd4c64b3f12/12,583
606c6fd4c64b3f12/13,48
606c6fd4c64b3f12/13,129
606c6fd4c64b3f12/14,29
606c6fd4c64b3f12/15,52
606c6fd4c64b3f12/16,29
606c6fd4c64b3f12/16,129
606c6fd4c64b3f12/16,52
606c6fd4c64b3f12/17,29
606c6fd4c64b3f12/17,52
519872b299185795/1,823
519872b299185795/1,1208
0265f5f9c31aa2c1/2,85
0265f5f9c31aa2c1/2,119
0265f5f9c31aa2c1/2,247
0265f5f9c31aa2c1/2,621
0265f5f9c31aa2c1/2,948
0265f5f9c31aa2c1/2,993
0265f5f9c31aa2c1/2,1183
0265f5f9c31aa2c1/2,1270
0265f5f9c31aa2c1/2,2149
7d5c8d966b1e7752/1,400
3105eaf514f03f25/55,2584
e9e97f0ac8cc2735/13,1162
e9e97f0ac8cc2735/13,2142
e9e97f0ac8cc2735/13,1955
e9e97f0ac8cc2735/13,3040
e9e97f0ac8cc2735/13,3304
e9e97f0ac8cc2735/13,4196
e9e97f0ac8cc2735/13,3227
2d5235e2365a7e81/3,170
2d5235e2365a7e81/3,871
2d5235e2365a7e81/3,3799
2d5235e2365a7e81/4,170
2d5235e2365a7e81/5,3934
048cdfc9c73db8e3/1,464
048cdfc9c73db8e3/1,1762
048cdfc9c73db8e3/1,1881
b659c5eba59da618/1,62
b659c5eba59da618/1,937
b659c5eba59da618/1,574
b659c5eba59da618/1,336
b659c5eba59da618/2,37
b659c5eba59da618/2,257
b659c5eba59da618/2,482
b659c5eba59da618/2,726
b659c5eba59da618/2,952
b659c5eba59da618/2,120
b659c5eba59da618/2,3934
b659c5eba59da618/2,4356
4391e97facc665ae/21,1149
4391e97facc665ae/21,9
d0c6df3a728b6b9f/17,170
d0c6df3a728b6b9f/17,296
d0c6df3a728b6b9f/17,1099
d0c6df3a728b6b9f/17,972
f7b2f89f14bdbe79/18,1499
f7b2f89f14bdbe79/20,1527
f7b2f89f14bdbe79/21,226
6a439214be3b7dc9/1,170
6a439214be3b7dc9/1,293
6a439214be3b7dc9/1,3799
6f3b2a9033d9c01f/1,96
6f3b2a9033d9c01f/2,43
9a9f6fe91d9c77cf/1,4188
da89ac9078e15df8/2,26
da89ac9078e15df8/2,345
41d75bced0e8fa45/1,975
5e30a9de61677368/1,1366
71d6186ec6600c46/1,1419
71d6186ec6600c46/3,401
71d6186ec6600c46/3,895
71d6186ec6600c46/3,1439
71d6186ec6600c46/3,2008
bb1e4be1d8fd9130/2,1409
b40ed55cd0d45e09/1,257
b40ed55cd0d45e09/1,1419
fc5ffb3b13c13334/1,187
bc605bad83249bc7/1,590
ff4afe1223ba7146/1,68
ff4afe1223ba7146/1,235
ff4afe1223ba7146/1,647
ff4afe1223ba7146/1,1622
06a2258fcd4355ca/2,3188
06a2258fcd4355ca/2,3036
06a2258fcd4355ca/2,3228
e5d6dc80c46423f9/2,15
e5d6dc80c46423f9/2,3222
e5d6dc80c46423f9/2,582
e5d6dc80c46423f9/2,3127
e5d6dc80c46423f9/2,1106
e5d6dc80c46423f9/2,3061
c6f789f6eb285333/3,989
c6f789f6eb285333/3,906
5ce7a078db0e656c/1,2086
218fc6b406c31971/2,29
218fc6b406c31971/2,37
218fc6b406c31971/2,217
218fc6b406c31971/2,971
218fc6b406c31971/2,2470
218fc6b406c31971/2,4188
218fc6b406c31971/2,3934
218fc6b406c31971/2,3125
c07f390acbefbd0c/10,897
c07f390acbefbd0c/11,897
c07f390acbefbd0c/12,673
2eb6853dfff3f121/1,296
2eb6853dfff3f121/1,631
9bf3db3e02317f74/26,195
56dbeb2b91337f86/2,588
